FZ,C3,CZ,C4,PZ,PO7,OZ,PO8
1.1001573947756746,261.9739262983763,226.1589666086566,10.971328308818611,148.40925763410448,65.63940190152074,73.57963645274242,16.02782492884249
0.9001764197888903,264.9218074987041,228.86198166259396,10.532144711619459,150.14286052402042,66.15320612653032,74.19186258471261,15.967114716345383
0.4108477855214655,272.2078831054204,235.216721483409,9.910974396576465,154.20470722110917,68.01017425161336,76.10325951869375,16.01958954345079
-0.4366502351011303,280.653110841601,243.11554489748133,9.414548676336233,158.98488258607412,70.40224376007235,78.62252887516526,16.122185089691072
-1.3804712351030302,284.1182646168703,248.1195371194076,9.632902528108325,161.34215915165817,71.66187739521766,80.24620566477088,16.20600670669866
-1.7903830092510318,276.2137824397772,245.30289390380548,11.183738113321308,157.9909480772923,69.93213777208612,79.2530809032972,16.271640714437197
-0.8940267217005389,253.26634591432227,231.20446401333723,14.278637651187339,146.9553228415511,63.99351773204921,74.40801112419167,16.38334567449564
1.9085752968302572,216.14141031588832,205.22070133698907,18.494453849045698,128.48059697345874,53.896467420994824,65.53209564387659,16.64664427043966
6.866169161805598,170.3364882477607,170.264555170999,22.991520619529503,105.1941126782947,41.143486984962635,53.760887717901475,17.212989574896714
13.896366666688605,124.47943829105306,132.4885754505366,27.016158477029002,81.50484286861388,28.31039403330212,41.339305894005676,18.25557908116756
22.699584091207893,87.81579158640156,99.8036580475074,30.277092892245097,62.35046090260389,18.20618425573054,30.927489022969535,19.845883949961756
32.839354858492975,67.51642058222052,79.38498405813208,32.92656944281154,51.64062276635897,12.894780059806967,24.646970385488245,21.77954556169323
43.747777898720535,66.52619117965398,75.01770144933897,35.235676367206224,50.91883039149973,12.972967239933599,23.271405467014084,23.515832875395997
54.69916932459782,82.27426357903539,85.32014035512161,37.28877501093665,58.64431196227461,17.348259178090903,25.890718095148074,24.358121318988374
64.83413626291426,106.45997456790107,103.57216743881725,38.9631354284937,70.27581779728932,23.548135057713868,30.161329299274797,23.828066969021027
73.30937615240046,126.51978361541155,119.49028725981348,40.198951060509884,79.3033849977446,28.48213638872585,33.08865670891965,22.021404673499305
79.57348487145617,129.3906056959766,122.81513152286624,41.31748165853519,79.31328685929049,29.506270527445306,32.15788014360831,19.70754150523355
83.63518198245616,106.90370075386544,107.67787363168426,43.08207390642044,66.65534417947832,25.46870593637853,26.428431196521135,18.0647545392354
86.10762299997589,60.245073098394705,75.69312393240693,46.36002687236327,42.48158537870789,17.243158299426394,17.041678243664304,18.14788278825813
87.91037990657333,0.40086271867887296,35.68913461956532,51.53800870136599,12.715245154569693,7.3622657964596385,6.742430459981584,20.35180591287764
89.76692307746121,-56.46480144864208,-0.3491180936859537,58.08122453577631,-14.485179638646581,-1.163828792156027,-1.4414023609287032,24.168518080862043
91.83809766268587,-96.39174956254271,-23.024821183684512,64.61377424807502,-32.50665947648918,-6.222121838240432,-5.631766193360224,28.40264344699377
93.76366490430836,-113.46848313536952,-29.51352905197185,69.57418408127099,-39.05791264108557,-7.390294036490309,-5.798800813087343,31.756089556434844
95.06087845144688,-110.94528022008348,-23.537377182541462,72.05463867229476,-36.37261058208004,-5.767524390936664,-3.3882633014070818,33.45371040804176
95.53519441355749,-97.73306369833604,-11.99269869743981,72.23742642639719,-29.12343533794724,-3.1028995724965496,-0.28575570328562566,33.535407606916515
95.3824282696056,-83.2131970481025,-1.0252686275307303,71.13153161731033,-21.772579530738696,-0.8663510093933953,2.117396406137718,32.663281779519956
94.97752328088424,-73.523885961633,6.040715507593021,69.87203622871048,-16.974245634761164,0.2293601151140392,3.2716976461700633,31.63631046378333
94.61485670963421,-70.54993506662564,8.629228109159968,69.14902426293612,-15.390315262379344,0.19428378452995543,3.3041312678042543,30.97868129102544
94.41929556846648,-72.86354746963083,7.925434418469924,69.09933252568885,-16.2692002671948,-0.5286347310592926,2.6956630962139445,30.82572466561651
94.3981605205389,-77.36423983759552,5.95493438807773,69.52271556605265,-18.148667919179495,-1.3680208101184466,2.016745399451117,31.044885582513867
94.48342661214868,-80.92656392905837,4.742376066875667,70.0988495172943,-19.544880737486068,-1.868363616322317,1.7120184255118707,31.396690433541814
94.53582326615673,-81.7214235082656,5.4308260662146015,70.49903709336982,-19.59796991685271,-1.8555298914957792,1.9307406709901416,31.64230825458255
94.41633235297404,-79.74087962997933,7.865508139809594,70.5157069470911,-18.356253055633314,-1.4538756239846942,2.521025210006365,31.637215286638003
94.14588590645097,-76.21827115651068,11.165216041077452,70.239829462266,-16.420964156852275,-0.9205123755917319,3.240909607289349,31.424178430773928
93.98241667333636,-72.44560314855099,14.789562722953356,70.0809050889486,-14.269325355111842,-0.4245171998027093,3.9952323936281555,31.229994862281504
94.24988376341754,-69.07353873117809,18.873226806821876,70.46561660079735,-11.98761878724574,0.020341605149979403,4.829828711090939,31.293669187906083
95.01374350578071,-66.41680167198021,23.376713375302444,71.40666900580753,-9.690922754149339,0.4192657906451449,5.684772993915423,31.634300862497415
95.90841867126763,-65.08212022778602,27.136636913728,72.36180889861325,-8.026298238566342,0.646651752605961,6.228312280881016,31.980036895810905
96.30994295723455,-65.85508433906898,28.230884968262167,72.57062703469143,-7.964818395145482,0.49594400941097944,6.042623828843098,31.95145590496199
95.73257840566698,-68.74972397275941,25.64274077094786,71.60531707094171,-9.897655461184947,-0.09505634794238219,5.038315622323376,31.351562728982028
94.16856620575678,-72.25816505841841,20.690617175873314,69.71494005257532,-12.902397003738944,-0.8786894101098887,3.7024047786241945,30.33397942859998
92.20791525247957,-73.75405859685486,16.863649198861424,67.79719646931,-14.929632141848925,-1.3652662884062667,2.941643998852022,29.364627262763182
90.93209074009312,-70.88486706352174,18.184486929854643,67.10169551252291,-13.803359400843448,-1.0687464728504232,3.638218673531332,29.047140262040816
91.55902937334373,-63.024268296167975,27.1503064442589,68.74058044339556,-8.395875903288108,0.2323702938045138,6.168919988249525,29.872318019491555
94.77535291435396,-52.11828976190565,42.95877760978383,72.97710545037101,0.4565010511492589,2.2984388198551264,10.021213954464152,31.886001245576118
99.90751659307661,-42.73756318224913,60.33959919717498,78.477948860712,9.479713964111978,4.3183284179001635,13.606934737778092,34.360873679148504
104.47505520993964,-40.99476552184027,69.92577035770805,82.13793248107233,13.40437095748532,5.009925450696697,14.546366611485277,35.75917683682573
104.74834724724326,-51.79224373486393,61.604959788826186,80.08723329228862,7.021535676993563,3.118069756565064,10.699227052341335,34.26742476744988
97.37679401429313,-74.8589763037305,30.7609679505132,69.72537064043121,-11.338977188993614,-1.7512166771251898,1.7007568311045824,28.796913509484742
81.29271828691864,-101.95115492218552,-15.8944580588797,51.62691519038013,-36.841523204694056,-8.462517084520892,-9.966420582110883,19.855142671423437
58.68026685586137,-118.28806368002255,-59.8978030930312,29.90531869649487,-58.4170758260759,-14.495717129869682,-19.454389312087162,9.602292719442397
34.26566168108154,-109.09812942799006,-78.47864362856004,10.505943197570383,-63.40248665477567,-17.081832735730732,-21.772833378285192,0.8979067118549897
13.247401745486496,-68.17597660416143,-56.69491534302314,-1.6788841099817302,-44.456996607827946,-14.717839291713247,-14.58617107052682,-4.132297986879759
